Entailment,Arg1,Arg2
sup,A0,A1
sup,A1,A2
sup,A2,A3
sup,A3,A4
sup,A4,A5
sup,A5,A6
sup,A6,A7
sup,A7,A8
sup,A8,A9
sup,A9,A10
sup,A10,A11
sup,A11,A12
sup,A12,A13
sup,A13,A14
sup,A14,A15
sup,A15,A16
sup,A16,A0
sup,A21,A22
sup,A27,A28
sup,A28,A29
sup,A29,A30
sup,A30,A31
sup,A33,A34
sup,A35,A17
sup,A36,A37
sup,A37,A38
sup,A41,A42
sup,A42,A43
sup,A44,A45
sup,A45,A46
sup,A46,A47
sup,A47,A48
sup,A48,A49
sup,A49,A50
sup,A50,A51
sup,A51,A52
sup,A52,A53
sup,A53,A44
sup,A54,A55
sup,A55,A56
sup,A56,A57
sup,A57,A58
sup,A58,A59
sup,A59,A60
sup,A60,A61
sup,A61,A62
sup,A62,A63
sup,A63,A64
sup,A64,A54
sup,A65,A66
sup,A66,A67
sup,A67,A68
sup,A68,A69
sup,A69,A70
sup,A70,A71
sup,A71,A72
sup,A72,A73
sup,A73,A74
sup,A74,A75
sup,A75,A76
sup,A76,A77
sup,A77,A78
sup,A78,A79
sup,A79,A80
sup,A80,A81
sup,A81,A82
sup,A82,A83
sup,A83,A84
sup,A84,A85
sup,A85,A86
sup,A86,A87
sup,A87,A88
sup,A88,A65
sup,A90,A91
sup,A91,A92
sup,A92,A93
sup,A93,A94
sup,A95,A96
sup,A96,A97
sup,A97,A98
sup,A98,A99
sup,A99,A100
sup,A102,A103
sup,A103,A104
sup,A104,A105
sup,A105,A106
sup,A107,A108
sup,A108,A109
sup,A112,A113
sup,A114,A115
sup,A115,A116
sup,A116,A114
sup,A138,A139
sup,A139,A140
sup,A140,A138
sup,A148,A149
sup,A150,A151
sup,A151,A152
sup,A153,A154
sup,A154,A155
sup,A155,A156
sup,A157,A158
sup,A158,A159
sup,A159,A160
sup,A161,A162
sup,A162,A163
sup,A163,A148
sup,A164,A165
sup,A165,A166
sup,A166,A167
sup,A167,A168
sup,A168,A169
sup,A169,A170
sup,A170,A171
sup,A171,A172
