Entailment,Arg1,Arg2
sup,A0,A1
sup,A1,A2
sup,A2,A3
sup,A3,A4
sup,A4,A5
sup,A5,A6
sup,A6,A7
sup,A7,A8
sup,A8,A9
sup,A9,A10
sup,A10,A11
sup,A11,A12
sup,A12,A13
sup,A13,A14
sup,A14,A15
sup,A15,A16
sup,A16,A17
sup,A17,A18
sup,A18,A19
sup,A19,A20
sup,A20,A0
sup,A21,A22
sup,A22,A23
sup,A23,A24
sup,A24,A25
sup,A25,A26
sup,A26,A27
sup,A27,A28
sup,A28,A29
sup,A29,A30
sup,A30,A31
sup,A31,A32
sup,A32,A33
sup,A33,A34
sup,A34,A35
sup,A35,A36
sup,A36,A37
sup,A37,A38
sup,A38,A39
sup,A39,A40
sup,A40,A41
sup,A41,A42
sup,A42,A43
sup,A43,A44
sup,A44,A45
sup,A45,A46
sup,A46,A21
sup,A47,A48
sup,A49,A50
sup,A50,A51
sup,A52,A53
sup,A57,A58
sup,A58,A59
sup,A62,A63
sup,A63,A64
sup,A66,A67
sup,A67,A68
sup,A68,A69
sup,A69,A70
sup,A70,A71
sup,A71,A72
sup,A72,A73
sup,A73,A74
sup,A74,A75
sup,A75,A76
sup,A76,A77
sup,A77,A78
sup,A78,A79
sup,A79,A80
sup,A80,A81
sup,A81,A82
sup,A82,A83
sup,A83,A84
sup,A84,A66
sup,A101,A102
sup,A102,A103
sup,A103,A100
sup,A104,A105
sup,A105,A106
sup,A107,A108
sup,A108,A109
sup,A109,A110
sup,A110,A111
sup,A112,A104
sup,A113,A114
sup,A114,A115
sup,A115,A116
sup,A116,A117
sup,A117,A118
sup,A118,A119
sup,A119,A120
sup,A120,A121
sup,A121,A122
sup,A122,A123
sup,A123,A124
sup,A124,A113
sup,A125,A126
sup,A127,A128
sup,A128,A129
sup,A132,A133
sup,A133,A134
sup,A134,A135
sup,A138,A139
sup,A142,A143
sup,A146,A147
sup,A148,A149
sup,A150,A151
sup,A151,A152
sup,A153,A154
sup,A155,A156
sup,A159,A160
sup,A160,A161
sup,A162,A163
sup,A163,A164
sup,A164,A165
