Entailment,Arg1,Arg2
sup,A0,A1
sup,A1,A2
sup,A2,A3
sup,A4,A5
sup,A5,A6
sup,A6,A7
sup,A10,A11
sup,A12,A0
sup,A32,A33
sup,A33,A34
sup,A34,A35
sup,A35,A36
sup,A36,A37
sup,A37,A38
sup,A38,A39
sup,A39,A40
sup,A40,A41
sup,A41,A42
sup,A42,A43
sup,A43,A44
sup,A44,A45
sup,A45,A46
sup,A46,A47
sup,A47,A48
sup,A48,A49
sup,A49,A50
sup,A50,A51
sup,A51,A52
sup,A52,A53
sup,A53,A54
sup,A54,A55
sup,A55,A56
sup,A56,A57
sup,A57,A58
sup,A58,A32
sup,A76,A77
sup,A77,A78
sup,A78,A79
sup,A79,A80
sup,A80,A81
sup,A81,A82
sup,A82,A83
sup,A83,A84
sup,A84,A85
sup,A85,A86
sup,A86,A87
sup,A87,A88
sup,A88,A89
sup,A89,A76
sup,A96,A90
sup,A97,A98
sup,A98,A99
sup,A99,A100
sup,A100,A101
sup,A101,A102
sup,A102,A103
sup,A103,A104
sup,A104,A105
sup,A105,A106
sup,A106,A107
sup,A107,A108
sup,A108,A109
sup,A109,A110
sup,A110,A111
sup,A111,A112
sup,A112,A113
sup,A113,A114
sup,A114,A115
sup,A115,A116
sup,A116,A117
sup,A117,A118
sup,A118,A119
sup,A119,A120
sup,A120,A121
sup,A121,A122
sup,A122,A123
sup,A123,A124
sup,A124,A97
sup,A125,A126
sup,A126,A127
sup,A127,A128
sup,A128,A129
sup,A129,A130
sup,A130,A131
sup,A131,A132
sup,A132,A133
sup,A133,A134
sup,A134,A135
sup,A135,A136
sup,A136,A137
sup,A137,A138
sup,A138,A139
sup,A139,A140
sup,A140,A141
sup,A141,A142
sup,A142,A143
sup,A143,A144
sup,A144,A145
sup,A145,A146
sup,A146,A147
sup,A147,A148
sup,A148,A149
sup,A149,A150
sup,A150,A151
sup,A151,A152
sup,A152,A153
sup,A153,A154
sup,A154,A125
sup,A179,A180
sup,A180,A181
sup,A181,A182
sup,A182,A183
sup,A189,A190
sup,A190,A191
sup,A194,A195
