Entailment,Arg1,Arg2
sup,A0,A1
sup,A1,A2
sup,A2,A3
sup,A3,A4
sup,A4,A5
sup,A5,A6
sup,A6,A7
sup,A7,A8
sup,A8,A9
sup,A9,A10
sup,A10,A11
sup,A11,A12
sup,A12,A13
sup,A13,A14
sup,A14,A15
sup,A15,A0
sup,A16,A17
sup,A17,A18
sup,A19,A20
sup,A20,A21
sup,A22,A23
sup,A24,A25
sup,A26,A27
sup,A28,A29
sup,A30,A31
sup,A31,A32
sup,A32,A33
sup,A33,A34
sup,A36,A37
sup,A38,A39
sup,A39,A40
sup,A40,A41
sup,A41,A42
sup,A43,A44
sup,A44,A45
sup,A48,A49
sup,A52,A53
sup,A53,A54
sup,A54,A55
sup,A55,A56
sup,A58,A59
sup,A59,A16
sup,A65,A66
sup,A69,A70
sup,A71,A72
sup,A73,A74
sup,A75,A76
sup,A76,A77
sup,A79,A60
sup,A80,A81
sup,A81,A82
sup,A82,A83
sup,A83,A84
sup,A84,A85
sup,A85,A86
sup,A86,A87
sup,A87,A88
sup,A88,A89
sup,A89,A90
sup,A90,A91
sup,A91,A92
sup,A92,A93
sup,A93,A94
sup,A94,A95
sup,A95,A96
sup,A96,A97
sup,A97,A98
sup,A98,A99
sup,A99,A100
sup,A100,A101
sup,A101,A102
sup,A102,A103
sup,A103,A104
sup,A104,A105
sup,A105,A106
sup,A106,A107
sup,A107,A108
sup,A108,A109
sup,A109,A110
sup,A110,A111
sup,A111,A112
sup,A112,A113
sup,A113,A114
sup,A114,A115
sup,A115,A116
sup,A116,A117
sup,A117,A118
sup,A118,A119
sup,A119,A120
sup,A120,A121
sup,A121,A122
sup,A122,A123
sup,A123,A124
sup,A124,A125
sup,A125,A126
sup,A126,A80
sup,A127,A128
sup,A128,A129
sup,A129,A130
sup,A131,A132
sup,A132,A133
sup,A135,A136
sup,A136,A137
sup,A137,A138
sup,A139,A140
sup,A141,A142
sup,A142,A143
sup,A143,A144
sup,A144,A145
sup,A145,A146
sup,A146,A147
sup,A147,A148
sup,A149,A127
sup,A192,A193
sup,A193,A194
