Entailment,Arg1,Arg2
sup,A0,A1
sup,A1,A2
sup,A2,A3
sup,A3,A4
sup,A4,A5
sup,A5,A6
sup,A6,A7
sup,A7,A8
sup,A8,A9
sup,A9,A10
sup,A10,A11
sup,A11,A12
sup,A12,A13
sup,A13,A14
sup,A14,A15
sup,A15,A16
sup,A16,A17
sup,A17,A0
sup,A18,A19
sup,A19,A20
sup,A20,A21
sup,A21,A22
sup,A22,A23
sup,A23,A24
sup,A24,A25
sup,A25,A26
sup,A26,A27
sup,A27,A28
sup,A28,A29
sup,A29,A30
sup,A30,A18
sup,A31,A32
sup,A32,A33
sup,A35,A36
sup,A36,A37
sup,A37,A38
sup,A40,A31
sup,A41,A42
sup,A42,A43
sup,A43,A44
sup,A44,A45
sup,A45,A46
sup,A46,A47
sup,A47,A41
sup,A66,A67
sup,A67,A68
sup,A68,A69
sup,A69,A70
sup,A70,A66
sup,A71,A72
sup,A73,A74
sup,A74,A75
sup,A75,A76
sup,A76,A77
sup,A78,A71
sup,A79,A80
sup,A80,A81
sup,A81,A82
sup,A82,A83
sup,A83,A84
sup,A84,A85
sup,A85,A86
sup,A86,A87
sup,A87,A79
sup,A88,A89
sup,A89,A90
sup,A90,A91
sup,A91,A92
sup,A92,A93
sup,A93,A94
sup,A94,A95
sup,A95,A96
sup,A96,A97
sup,A97,A98
sup,A98,A99
sup,A99,A100
sup,A100,A101
sup,A101,A102
sup,A102,A103
sup,A103,A104
sup,A104,A105
sup,A105,A88
sup,A106,A107
sup,A107,A108
sup,A108,A109
sup,A109,A110
sup,A110,A111
sup,A111,A112
sup,A112,A113
sup,A113,A114
sup,A114,A115
sup,A115,A116
sup,A116,A106
sup,A117,A118
sup,A118,A119
sup,A120,A121
sup,A122,A123
sup,A123,A124
sup,A124,A125
sup,A126,A127
sup,A128,A129
sup,A130,A131
sup,A150,A151
sup,A151,A152
sup,A152,A153
sup,A154,A155
sup,A155,A156
sup,A156,A157
sup,A157,A158
sup,A159,A160
sup,A160,A161
sup,A161,A162
sup,A162,A150
sup,A164,A165
sup,A165,A166
