Entailment,Arg1,Arg2
sup,A5,A6
sup,A6,A7
sup,A7,A8
sup,A10,A11
sup,A12,A13
sup,A13,A14
sup,A16,A17
sup,A18,A19
sup,A20,A21
sup,A21,A22
sup,A22,A23
sup,A23,A24
sup,A27,A28
sup,A28,A29
sup,A29,A0
sup,A30,A31
sup,A31,A32
sup,A32,A33
sup,A33,A34
sup,A34,A35
sup,A35,A36
sup,A36,A37
sup,A37,A38
sup,A38,A39
sup,A39,A40
sup,A40,A41
sup,A41,A42
sup,A42,A43
sup,A43,A44
sup,A44,A45
sup,A45,A46
sup,A46,A47
sup,A47,A48
sup,A48,A49
sup,A49,A50
sup,A50,A51
sup,A51,A52
sup,A52,A53
sup,A53,A30
sup,A57,A58
sup,A58,A59
sup,A61,A62
sup,A62,A63
sup,A65,A66
sup,A66,A67
sup,A67,A68
sup,A69,A70
sup,A72,A73
sup,A73,A74
sup,A75,A76
sup,A76,A77
sup,A77,A78
sup,A78,A79
sup,A79,A80
sup,A80,A81
sup,A86,A87
sup,A89,A90
sup,A93,A54
sup,A94,A95
sup,A96,A97
sup,A97,A98
sup,A98,A99
sup,A100,A101
sup,A104,A105
sup,A106,A107
sup,A107,A108
sup,A108,A109
sup,A109,A110
sup,A111,A112
sup,A113,A114
sup,A114,A115
sup,A115,A116
sup,A116,A117
sup,A117,A118
sup,A118,A119
sup,A119,A120
sup,A120,A113
sup,A121,A122
sup,A122,A123
sup,A123,A124
sup,A124,A125
sup,A125,A126
sup,A126,A127
sup,A127,A128
sup,A128,A129
sup,A129,A130
sup,A130,A131
sup,A131,A132
sup,A132,A133
sup,A133,A134
sup,A134,A135
sup,A135,A136
sup,A136,A137
sup,A137,A138
sup,A138,A139
sup,A139,A140
sup,A140,A141
sup,A141,A142
sup,A142,A143
sup,A143,A144
sup,A144,A145
sup,A145,A146
sup,A146,A147
sup,A147,A148
sup,A148,A149
sup,A149,A150
sup,A150,A151
sup,A151,A152
sup,A152,A153
sup,A153,A154
sup,A154,A155
sup,A155,A156
sup,A156,A157
sup,A157,A158
sup,A158,A159
sup,A159,A160
sup,A160,A161
sup,A161,A121
sup,A162,A163
sup,A163,A164
sup,A164,A165
sup,A165,A166
sup,A166,A167
sup,A167,A168
sup,A168,A169
sup,A169,A170
sup,A170,A171
sup,A171,A172
sup,A172,A173
sup,A173,A174
sup,A174,A175
sup,A175,A176
sup,A176,A177
sup,A177,A178
sup,A178,A179
sup,A179,A180
sup,A180,A181
sup,A181,A182
sup,A182,A183
sup,A183,A184
sup,A184,A185
sup,A185,A186
sup,A186,A187
sup,A187,A188
sup,A188,A162
sup,A191,A192
sup,A192,A193
sup,A193,A194
sup,A194,A195
sup,A196,A197
sup,A200,A201
sup,A207,A208
sup,A209,A210
sup,A211,A212
sup,A214,A215
sup,A215,A216
sup,A216,A217
sup,A218,A219
sup,A221,A222
sup,A222,A223
sup,A223,A224
sup,A227,A228
sup,A228,A229
sup,A229,A230
sup,A231,A232
sup,A234,A235
sup,A236,A237
sup,A237,A238
sup,A239,A240
sup,A242,A243
sup,A243,A244
sup,A244,A245
sup,A245,A209
sup,A254,A255
sup,A255,A256
sup,A256,A257
sup,A257,A258
sup,A258,A259
sup,A259,A260
sup,A260,A261
sup,A261,A262
sup,A262,A263
sup,A263,A264
sup,A264,A265
sup,A265,A266
sup,A266,A267
sup,A267,A268
sup,A268,A269
sup,A269,A254
sup,A273,A274
sup,A275,A276
sup,A276,A277
sup,A279,A280
sup,A280,A281
sup,A281,A282
sup,A282,A283
sup,A285,A286
sup,A286,A287
sup,A287,A288
sup,A288,A289
sup,A289,A290
sup,A290,A291
sup,A291,A292
sup,A292,A293
sup,A293,A294
sup,A294,A295
sup,A295,A296
sup,A296,A297
sup,A297,A298
sup,A298,A299
sup,A299,A300
sup,A300,A301
sup,A301,A302
sup,A302,A303
sup,A303,A304
sup,A304,A305
sup,A305,A306
sup,A306,A307
sup,A307,A308
sup,A308,A309
sup,A309,A310
sup,A310,A311
sup,A311,A312
sup,A312,A313
sup,A313,A314
sup,A314,A315
sup,A315,A316
sup,A316,A317
sup,A317,A318
sup,A318,A319
sup,A319,A320
sup,A320,A321
sup,A321,A322
sup,A322,A323
sup,A323,A285
sup,A365,A366
sup,A368,A369
sup,A369,A370
sup,A370,A371
sup,A375,A376
sup,A376,A377
sup,A377,A378
sup,A378,A379
sup,A379,A380
sup,A381,A382
sup,A383,A384
sup,A384,A385
sup,A385,A386
sup,A387,A388
sup,A391,A392
sup,A392,A393
sup,A395,A396
sup,A396,A397
sup,A397,A398
sup,A400,A401
sup,A401,A402
sup,A404,A405
sup,A405,A406
sup,A407,A408
sup,A408,A409
sup,A409,A410
sup,A410,A411
sup,A411,A412
sup,A412,A413
sup,A413,A414
sup,A414,A415
sup,A415,A416
sup,A416,A417
sup,A417,A418
sup,A418,A419
sup,A419,A420
sup,A420,A421
sup,A421,A422
sup,A422,A423
sup,A423,A424
